Year of coll,rear no a,rear no b,Rearing,leg,country,region,Sitevisit,site,Ndecdeg,Edecdeg,LatDeg,District,coordinate N,coordinate E,m NN,genus,species,Genus species,Rgaller,author,code galltype,distribution,n galls,n clean galls,n real galls,parasitised galls,unparasitised galls,Salix,Salix author,P/Bp,name of parasitoid or inquiline,Genus of parasitoid/inq,goodness of id,Rpar,family,rate of parasitism,n,n Endo,n Ekto,n Koino,n Idio,n JL,n AL,n K,n Ei
1982,3,W1-R3,198203W1-R3Ovimin,15.06.82,D,Hessen,"1982Kühkopf, Mordhecke I49,81666666666678,41666666666667","Kühkopf, Mordhecke I","49,8166666667","8,4166666667",49,32UMA4,49°49'N,8°25'E,87,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,48,0,48,19,29,purpurea,Linnaeus 1753,Bp,Curculio crux Fabricius 1776,Curculio,species,Ccruxx,Curculionidae,"10,4166666667",5,0,0,0,0,0,0,0,5
1982,3,W1-R3,198203W1-R3Ovimin,15.06.82,D,Hessen,"1982Kühkopf, Mordhecke I49,81666666666678,41666666666667","Kühkopf, Mordhecke I","49,8166666667","8,4166666667",49,32UMA4,49°49'N,8°25'E,87,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,48,0,48,19,29,purpurea,Linnaeus 1753,P,Eulonchetron torymoides (Thomson 1878),Eulonchetron,species,Etorym,Pteromalidae,"16,6666666667",8,0,8,0,8,8,0,0,0
1982,3,W1-R3,198203W1-R3Ovimin,15.06.82,D,Hessen,"1982Kühkopf, Mordhecke I49,81666666666678,41666666666667","Kühkopf, Mordhecke I","49,8166666667","8,4166666667",49,32UMA4,49°49'N,8°25'E,87,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,48,0,48,19,29,purpurea,Linnaeus 1753,Bp,Eurytoma aciculata Ratzeburg 1848,Eurytoma,species,Eacicu,Eurytomidae,"10,4166666667",5,0,0,0,0,5,0,0,0
1982,3,W1-R3,198203W1-R3Ovimin,15.06.82,D,Hessen,"1982Kühkopf, Mordhecke I49,81666666666678,41666666666667","Kühkopf, Mordhecke I","49,8166666667","8,4166666667",49,32UMA4,49°49'N,8°25'E,87,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,48,0,48,19,29,purpurea,Linnaeus 1753,P,Ichneutes lapponicus Thomson 1895,Ichneutes,species,Ilappo,Braconidae,"2,0833333333",1,1,0,1,0,1,0,0,0
1982,3,W1-R3,198203W1-R3Ovimin,15.06.82,D,Hessen,"1982Kühkopf, Mordhecke I49,81666666666678,41666666666667","Kühkopf, Mordhecke I","49,8166666667","8,4166666667",49,32UMA4,49°49'N,8°25'E,87,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,48,0,48,19,29,purpurea,Linnaeus 1753,,no parasitoid or inquiline,,no,Nooooo,no,0,29,0,0,0,0,0,0,0,0
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,P,Pteromalus dolichurus (Thomson 1878),Pteromalus,species,Pdolic,Pteromalidae,"1,9607843137",1,0,1,0,1,0,1,0,0
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,P,Chalcidoidea indet.,,superfamily,Chalci,Chalcidoidea,"1,9607843137",1,0,1,0,1,1,0,0,0
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,Bp,Curculio crux Fabricius 1776,Curculio,species,Ccruxx,Curculionidae,"35,2941176471",18,0,0,0,0,0,0,0,18
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,P,Eulonchetron torymoides (Thomson 1878),Eulonchetron,species,Etorym,Pteromalidae,"1,9607843137",1,0,1,0,1,1,0,0,0
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,Bp,Eurytoma aciculata Ratzeburg 1848,Eurytoma,species,Eacicu,Eurytomidae,"11,7647058824",6,0,0,0,0,6,0,0,0
1982,4,A-V1,198204A-V1Ovimin,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,viminalis,Pontania viminalis,Ovimin,(Linnaeus 1758),RK4,Paläarktis,51,0,51,27,24,purpurea,Linnaeus 1753,,no parasitoid or inquiline,,no,Nooooo,no,0,24,0,0,0,0,0,0,0,0
1982,5,A1-V1,198205A1-V1Obridg,15.06.82,D,Hessen,"1982Griesheim bei Darmstadt49,858,51666666666667",Griesheim bei Darmstadt,"49,85","8,5166666667",49,32UMA4,49°51'N,8°31'E,92,Pontania,bridgmanii,Pontania bridgmanii,Obridg,(Cameron 1883),RK3,Paläarktis,25,4,21,12,9,caprea,Linnaeus 1753,Bp,Apion minimum Herbst 1797,Apion,species,Aminim,Curculionidae,"23,8095238095",5,0,0,0,0,5,0,0,0
