"Var1" "Var2" "type"
"1" "657" "729" "SG"
"2" "675" "729" "SG"
"3" "678" "729" "SG"
"4" "651" "729" "SG"
"5" "669" "729" "SG"
"6" "702" "729" "SG"
"7" "700" "729" "SG"
"8" "704" "729" "SG"
"9" "697" "729" "SG"
"10" "720" "729" "SG"
"11" "665" "729" "SG"
"12" "653" "729" "SG"
"13" "661" "729" "SG"
"14" "682" "729" "SG"
"15" "663" "729" "SG"
"16" "673" "729" "SG"
"17" "737" "729" "SG"
"18" "679" "729" "SG"
"19" "666" "729" "SG"
"20" "695" "729" "SG"
"21" "685" "729" "SG"
"22" "771" "729" "SG"
"23" "715" "729" "SG"
"24" "765" "729" "SG"
"25" "667" "729" "SG"
"26" "775" "729" "SG"
"27" "761" "729" "SG"
"28" "689" "729" "SG"
"29" "773" "729" "SG"
"30" "659" "729" "SG"
"31" "671" "729" "SG"
"32" "774" "729" "SG"
"33" "731" "729" "SG"
"34" "692" "729" "SG"
"35" "706" "729" "SG"
"36" "793" "729" "SG"
"37" "785" "729" "SG"
"38" "772" "729" "SG"
"39" "754" "729" "SG"
"40" "730" "729" "SG"
"41" "760" "729" "SG"
"42" "790" "729" "SG"
"43" "794" "729" "SG"
"44" "788" "729" "SG"
"45" "783" "729" "SG"
"46" "784" "729" "SG"
"47" "776" "729" "SG"
"48" "712" "729" "SG"
"49" "709" "729" "SG"
"50" "723" "729" "SG"
"51" "724" "729" "SG"
"52" "780" "729" "SG"
"53" "657" "676" "SG"
"54" "675" "676" "SG"
"55" "678" "676" "SG"
"56" "651" "676" "SG"
"57" "669" "676" "SG"
"58" "702" "676" "SG"
"59" "700" "676" "SG"
"60" "704" "676" "SG"
"61" "697" "676" "SG"
"62" "720" "676" "SG"
"63" "665" "676" "SG"
"64" "653" "676" "SG"
"65" "661" "676" "SG"
"66" "682" "676" "SG"
"67" "663" "676" "SG"
"68" "673" "676" "SG"
"69" "737" "676" "SG"
"70" "679" "676" "SG"
"71" "666" "676" "SG"
"72" "695" "676" "SG"
"73" "685" "676" "SG"
"74" "771" "676" "SG"
"75" "715" "676" "SG"
"76" "765" "676" "SG"
"77" "667" "676" "SG"
"78" "775" "676" "SG"
"79" "761" "676" "SG"
"80" "689" "676" "SG"
"81" "773" "676" "SG"
"82" "659" "676" "SG"
"83" "671" "676" "SG"
"84" "774" "676" "SG"
"85" "731" "676" "SG"
"86" "692" "676" "SG"
"87" "706" "676" "SG"
"88" "793" "676" "SG"
"89" "785" "676" "SG"
"90" "772" "676" "SG"
"91" "754" "676" "SG"
"92" "730" "676" "SG"
"93" "760" "676" "SG"
"94" "790" "676" "SG"
"95" "794" "676" "SG"
"96" "788" "676" "SG"
"97" "783" "676" "SG"
"98" "784" "676" "SG"
"99" "776" "676" "SG"
"100" "712" "676" "SG"
"101" "709" "676" "SG"
"102" "723" "676" "SG"
"103" "724" "676" "SG"
"104" "780" "676" "SG"
"105" "657" "687" "SG"
"106" "675" "687" "SG"
"107" "678" "687" "SG"
"108" "651" "687" "SG"
"109" "669" "687" "SG"
"110" "702" "687" "SG"
"111" "700" "687" "SG"
"112" "704" "687" "SG"
"113" "697" "687" "SG"
"114" "720" "687" "SG"
"115" "665" "687" "SG"
"116" "653" "687" "SG"
"117" "661" "687" "SG"
"118" "682" "687" "SG"
"119" "663" "687" "SG"
"120" "673" "687" "SG"
"121" "737" "687" "SG"
"122" "679" "687" "SG"
"123" "666" "687" "SG"
"124" "695" "687" "SG"
"125" "685" "687" "SG"
"126" "771" "687" "SG"
"127" "715" "687" "SG"
"128" "765" "687" "SG"
"129" "667" "687" "SG"
"130" "775" "687" "SG"
"131" "761" "687" "SG"
"132" "689" "687" "SG"
"133" "773" "687" "SG"
"134" "659" "687" "SG"
"135" "671" "687" "SG"
"136" "774" "687" "SG"
"137" "731" "687" "SG"
"138" "692" "687" "SG"
"139" "706" "687" "SG"
"140" "793" "687" "SG"
"141" "785" "687" "SG"
"142" "772" "687" "SG"
"143" "754" "687" "SG"
"144" "730" "687" "SG"
"145" "760" "687" "SG"
"146" "790" "687" "SG"
"147" "794" "687" "SG"
"148" "788" "687" "SG"
"149" "783" "687" "SG"
"150" "784" "687" "SG"
"151" "776" "687" "SG"
"152" "712" "687" "SG"
"153" "709" "687" "SG"
"154" "723" "687" "SG"
"155" "724" "687" "SG"
"156" "780" "687" "SG"
"157" "657" "787" "SG"
"158" "675" "787" "SG"
"159" "678" "787" "SG"
"160" "651" "787" "SG"
"161" "669" "787" "SG"
"162" "702" "787" "SG"
"163" "700" "787" "SG"
"164" "704" "787" "SG"
"165" "697" "787" "SG"
"166" "720" "787" "SG"
"167" "665" "787" "SG"
"168" "653" "787" "SG"
"169" "661" "787" "SG"
"170" "682" "787" "SG"
"171" "663" "787" "SG"
"172" "673" "787" "SG"
"173" "737" "787" "SG"
"174" "679" "787" "SG"
"175" "666" "787" "SG"
"176" "695" "787" "SG"
"177" "685" "787" "SG"
"178" "771" "787" "SG"
"179" "715" "787" "SG"
"180" "765" "787" "SG"
"181" "667" "787" "SG"
"182" "775" "787" "SG"
"183" "761" "787" "SG"
"184" "689" "787" "SG"
"185" "773" "787" "SG"
"186" "659" "787" "SG"
"187" "671" "787" "SG"
"188" "774" "787" "SG"
"189" "731" "787" "SG"
"190" "692" "787" "SG"
"191" "706" "787" "SG"
"192" "793" "787" "SG"
"193" "785" "787" "SG"
"194" "772" "787" "SG"
"195" "754" "787" "SG"
"196" "730" "787" "SG"
"197" "760" "787" "SG"
"198" "790" "787" "SG"
"199" "794" "787" "SG"
"200" "788" "787" "SG"
"201" "783" "787" "SG"
"202" "784" "787" "SG"
"203" "776" "787" "SG"
"204" "712" "787" "SG"
"205" "709" "787" "SG"
"206" "723" "787" "SG"
"207" "724" "787" "SG"
"208" "780" "787" "SG"
"209" "657" "683" "SG"
"210" "675" "683" "SG"
"211" "678" "683" "SG"
"212" "651" "683" "SG"
"213" "669" "683" "SG"
"214" "702" "683" "SG"
"215" "700" "683" "SG"
"216" "704" "683" "SG"
"217" "697" "683" "SG"
"218" "720" "683" "SG"
"219" "665" "683" "SG"
"220" "653" "683" "SG"
"221" "661" "683" "SG"
"222" "682" "683" "SG"
"223" "663" "683" "SG"
"224" "673" "683" "SG"
"225" "737" "683" "SG"
"226" "679" "683" "SG"
"227" "666" "683" "SG"
"228" "695" "683" "SG"
"229" "685" "683" "SG"
"230" "771" "683" "SG"
"231" "715" "683" "SG"
"232" "765" "683" "SG"
"233" "667" "683" "SG"
"234" "775" "683" "SG"
"235" "761" "683" "SG"
"236" "689" "683" "SG"
"237" "773" "683" "SG"
"238" "659" "683" "SG"
"239" "671" "683" "SG"
"240" "774" "683" "SG"
"241" "731" "683" "SG"
"242" "692" "683" "SG"
"243" "706" "683" "SG"
"244" "793" "683" "SG"
"245" "785" "683" "SG"
"246" "772" "683" "SG"
"247" "754" "683" "SG"
"248" "730" "683" "SG"
"249" "760" "683" "SG"
"250" "790" "683" "SG"
"251" "794" "683" "SG"
"252" "788" "683" "SG"
"253" "783" "683" "SG"
"254" "784" "683" "SG"
"255" "776" "683" "SG"
"256" "712" "683" "SG"
"257" "709" "683" "SG"
"258" "723" "683" "SG"
"259" "724" "683" "SG"
"260" "780" "683" "SG"
"261" "657" "734" "SG"
"262" "675" "734" "SG"
"263" "678" "734" "SG"
"264" "651" "734" "SG"
"265" "669" "734" "SG"
"266" "702" "734" "SG"
"267" "700" "734" "SG"
"268" "704" "734" "SG"
"269" "697" "734" "SG"
"270" "720" "734" "SG"
"271" "665" "734" "SG"
"272" "653" "734" "SG"
"273" "661" "734" "SG"
"274" "682" "734" "SG"
"275" "663" "734" "SG"
"276" "673" "734" "SG"
"277" "737" "734" "SG"
"278" "679" "734" "SG"
"279" "666" "734" "SG"
"280" "695" "734" "SG"
"281" "685" "734" "SG"
"282" "771" "734" "SG"
"283" "715" "734" "SG"
"284" "765" "734" "SG"
"285" "667" "734" "SG"
"286" "775" "734" "SG"
"287" "761" "734" "SG"
"288" "689" "734" "SG"
"289" "773" "734" "SG"
"290" "659" "734" "SG"
"291" "671" "734" "SG"
"292" "774" "734" "SG"
"293" "731" "734" "SG"
"294" "692" "734" "SG"
"295" "706" "734" "SG"
"296" "793" "734" "SG"
"297" "785" "734" "SG"
"298" "772" "734" "SG"
"299" "754" "734" "SG"
"300" "730" "734" "SG"
"301" "760" "734" "SG"
"302" "790" "734" "SG"
"303" "794" "734" "SG"
"304" "788" "734" "SG"
"305" "783" "734" "SG"
"306" "784" "734" "SG"
"307" "776" "734" "SG"
"308" "712" "734" "SG"
"309" "709" "734" "SG"
"310" "723" "734" "SG"
"311" "724" "734" "SG"
"312" "780" "734" "SG"
"313" "657" "703" "SG"
"314" "675" "703" "SG"
"315" "678" "703" "SG"
"316" "651" "703" "SG"
"317" "669" "703" "SG"
"318" "702" "703" "SG"
"319" "700" "703" "SG"
"320" "704" "703" "SG"
"321" "697" "703" "SG"
"322" "720" "703" "SG"
"323" "665" "703" "SG"
"324" "653" "703" "SG"
"325" "661" "703" "SG"
"326" "682" "703" "SG"
"327" "663" "703" "SG"
"328" "673" "703" "SG"
"329" "737" "703" "SG"
"330" "679" "703" "SG"
"331" "666" "703" "SG"
"332" "695" "703" "SG"
"333" "685" "703" "SG"
"334" "771" "703" "SG"
"335" "715" "703" "SG"
"336" "765" "703" "SG"
"337" "667" "703" "SG"
"338" "775" "703" "SG"
"339" "761" "703" "SG"
"340" "689" "703" "SG"
"341" "773" "703" "SG"
"342" "659" "703" "SG"
"343" "671" "703" "SG"
"344" "774" "703" "SG"
"345" "731" "703" "SG"
"346" "692" "703" "SG"
"347" "706" "703" "SG"
"348" "793" "703" "SG"
"349" "785" "703" "SG"
"350" "772" "703" "SG"
"351" "754" "703" "SG"
"352" "730" "703" "SG"
"353" "760" "703" "SG"
"354" "790" "703" "SG"
"355" "794" "703" "SG"
"356" "788" "703" "SG"
"357" "783" "703" "SG"
"358" "784" "703" "SG"
"359" "776" "703" "SG"
"360" "712" "703" "SG"
"361" "709" "703" "SG"
"362" "723" "703" "SG"
"363" "724" "703" "SG"
"364" "780" "703" "SG"
"365" "657" "688" "SG"
"366" "675" "688" "SG"
"367" "678" "688" "SG"
"368" "651" "688" "SG"
"369" "669" "688" "SG"
"370" "702" "688" "SG"
"371" "700" "688" "SG"
"372" "704" "688" "SG"
"373" "697" "688" "SG"
"374" "720" "688" "SG"
"375" "665" "688" "SG"
"376" "653" "688" "SG"
"377" "661" "688" "SG"
"378" "682" "688" "SG"
"379" "663" "688" "SG"
"380" "673" "688" "SG"
"381" "737" "688" "SG"
"382" "679" "688" "SG"
"383" "666" "688" "SG"
