"","name","occurrence"
"255","Salix cinerea",2
"651","Pontania retusae",71
"652","Salix retusa",39
"653","Salix reticulata",68
"654","Pontania reticulatae",37
"655","Salix purpurea",15
"656","Phyllocolpa purpureae",20
"657","Pontania virilis",70
"658","Salix myrsinifolia",11
"659","Phyllocolpa ischnocera",7
"660","Salix lanata",7
"661","Pontania glabrifrons",27
"662","Salix glauca",29
"663","Pontania nivalis",39
"664","Salix lapponum",9
"665","Pontania samolad",23
"666","Salix phylicifolia",31
"667","Pontania arcticornis",30
"668","Salix herbacea",24
"669","Pontania herbaceae",62
"670","Euura lappo",13
"671","Pontania lapponicola",6
"672","Euura boreoalpina",37
"673","Salix alba",15
"674","Pontania proxima",16
"675","Phyllocolpa leucosticta",6
"676","Salix caprea",6
"677","Phyllocolpa leucapsis",13
"678","Euura atra",8
"679","Salix fragilis",14
"680","Salix elaeagnos",10
"681","Euura elaeagnos",4
"682","Pontania varia",22
"683","Euura mucronata",11
"684","Salix aurita",3
"685","Euura auritae",23
"686","Salix foetida",20
"687","Pontania obscura",8
"688","Pontania foetidae",24
"689","Salix pentandra",25
"690","Phyllocolpa carinifrons",23
"691","Euura gemmafoetidae",14
"692","Salix helvetica",3
"693","Euura gemmahelveticae",3
"694","Pontania viminalis",12
"695","Pontania kriechbaumeri",8
"696","Euura testaceipes",10
"697","Pontania maculosa",36
"698","Phyllocolpa spirappendiculata",13
"699","Salix appendiculata",16
"700","Salix repens",44
"701","Pontania collactanea",6
"702","Phyllocolpa erythropyga",15
"703","Pontania nigricantis",12
"704","Phyllocolpa anomaloptera",43
"705","Phyllocolpa polita",17
"706","Euura purpureae",5
"707","Pontania bridgmanii",5
"708","Pontania gallarum",17
"709","Salix daphnoides",1
"710","Phyllocolpa plicadaphnoides",3
"711","Salix caprea x appendiculata",15
"712","Pontania dolichura",5
"713","Salix myrsinites",3
"714","Pontania myrsiniticola",5
"715","Pontania lapponica",10
"716","Phyllocolpa nudipectus",8
"717","Euura phylicifoliae",2
"718","Phyllocolpa plicaphylicifolia",23
"719","Phyllocolpa acutiserra",13
"720","Euura nigritarsis",8
"721","Euura weiffenbachii",8
"722","Salix rosmarinifolia",15
"723","Pontania elaeagnocola",1
"724","Pontania vesicator",1
"725","Pontania acutifoliae daphnoides",36
"726","Salix hastata",3
"727","Euura hastatae",4
"728","Pontania hastatae",18
"729","Euura venusta",49
"730","Salix alpina?",3
"731","Pontania pedunculi",4
"732","Euura myrsinifoliae",22
"733","Pontania bella",11
"734","Salix rubens",30
"735","Salix viminalis",11
"736","Phyllocolpa anglica",15
"737","Phyllocolpa oblita",7
"738","Salix viminalis x caprea",5
"739","Salix triandra",33
"740","Pontania triandrae",3
"741","Salix glaucosericea",4
"742","Phyllocolpa spirhelvetica",15
"743","Phyllocolpa plicaglauca",10
"744","Euura gemmacinereae",5
"745","Euura cinereae",11
"746","Phyllocolpa alienata",13
"747","Salix viminalis x ?",7
"748","Pontania P. sp.18",6
"749","Phyllocolpa prussica",28
"750","Salix waldsteiniana",10
"751","Pontania montivaga",9
"752","Phyllocolpa plicalapponum",53
"753","Euura lanatae",19
"754","Pontania glaucae",3
"755","Euura lapponica",3
"756","Salix breviserrata",6
"757","Pontania breviserratae",6
"758","Salix borealis",6
"759","Pontania norvegica",2
"760","Salix cinerea x myrsinifolia",1
"761","Salix acutifolia",5
"762","Pontania acutifoliae acutifoliae",20
"763","Euura subgemma",14
"764","Pontania pustulator",4
"765","Salix cinerea oleifolia",2
"766","Phyllocolpa tuberculata",4
"767","Euura daphnoidica",3
"768","Phyllocolpa Ph. sp.n. / S. glauca",12
"769","Salix glabra",4
"770","Phyllocolpa Ph. sp. / S. glabra",2
"771","Pontania helveticae",2
"772","Salix mielichhoferi",1
"773","Euura E. sp. / S. appendiculata",1
"774","Salix apennina",1
"775","Salix polaris",1
"776","Pontania polaris",1
"777","Phyllocolpa ?spec.",19
"778","Phyllocolpa pschornwalcheri",5
"779","Salix fragilis x pentandra",10
"780","Pontania proxima?",1
"781","Salix bicolor",2
"782","Salix lapponum x glauca",30
"783","Salix aurita x caprea",1
"784","Salix phylicifolia x caprea ?",1
"785","Salix myrtilloides",2
"786","Euura myrtilloides",2
"787","Pontania myrtilloidica",15
"788","Pontania P. sp.17",1
"789","Euura E. sp. / S. myrsinites",6
"790","Euura E. sp. / S. myrtilloides",1
"791","Salix starkeana",1
"792","Salix hastata x phylicifolia",2
"793","Salix lapponum x phylicifolia",1
"794","Phyllocolpa Ph. sp. / S. caprea",1
"795","Salix lapponum x glauca?",3
"796","Bracon romani Fahringer 1927",5
"797","Ichneumonidae indet.",84
"798","Hydriomena ruberata Freyer 1831",83
"799","Chalcidoidea indet.",110
"800","Pteromalus pontaniae Askew 1985",28
"801","Mesoleius sp.",139
"802","Chrysocharis elongata (Thomson 1878)",238
"803","Scambus vesicarius (Ratzeburg 1844)",20
"804","Apion minimum Herbst 1797",9
"805","Saotis tricolor (Thomson 1883)",12
"806","Eridolius pygmaeus (Holmgren 1857)",6
"807","Eulonchetron torymoides (Thomson 1878)",1
"808","Ichneutes lapponicus Thomson 1895",5
"809","Braconidae indet.",123
"810","Eurytoma aciculata Ratzeburg 1848",1
"811","Lathrostizus flexicauda (Holmgren 1860)",13
"812","Pteromalus cyniphidis (Linnaeus 1758)",20
"813","Adelognathus cubiceps Roman 1925",27
"814","Pteromalus dolichurus (Thomson 1878)",3
"815","Lathrostizus lugens (Gravenhorst 1829)",46
"816","Curculio crux Fabricius 1776",4
"817","Bracon breviusculus (Wesmael 1838)",3
"818","Eurytoma salicis Walker 1834",9
"819","Eurytoma nobbei Mayr 1878",7
"820","Anaprostocetus acuminatus (Ratzeburg 1848)",60
"821","Pteromalus euurae Askew 1995",5
"822","Euphranta toxoneura (Loew 1846)",1
"823","Saotis morleyi Fitton 1976",53
"824","Colastes flavitarsis (Thomson 1892)",24
"825","Aptesis nigrocincta (Gravenhorst 1815)",43
"826","Adelognathus pusillus Holmgren 1857",1
"827","Entedon heyeri (Ratzeburg 1848)",77
"828","Diaparsis stramineipes (Brischke 1880)",2
"829","Adelognathus sp.",2
"830","Olesicampe sp.",2
"831","Shawiana lapponica (Thomson 1892)",10
"832","Colastes gracilis Papp 1975",21
"833","Saotis subarctor Kasparyan & Kopelke 2010",12
"834","Eupelmus urozonus Dalman 1820",4
"835","Eridolius sp.",1
